Site,Date_collected,Date_processed,Site,Cobble_SID,Pool_or_Riffle,Volume_mL,Volume_Added,TIN_num,Dry_Weight_g,AFD_Weight_g,Difference, Notes,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,2,riffle,34,0,18,1.1759,1.1726,0.0033,,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,5,riffle,27,0,30,1.1384,1.1337,0.0047,,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,11,pool,36,0,17,1.1542,1.1515,0.0027,,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,16,pool,30,0,20,1.1298,1.1250,0.0048,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,6,riffle,26,0,25,1.1459,1.1430,0.0029,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,7,riffle,41,0,31,1.1594,1.1574,0.0020,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,12,pool,35,0,23,1.1455,1.1376,0.0079,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,13,pool,19,0,29,1.1361,1.1333,0.0028,,,
Porter_Above,8/8/18,8/22/18,Frog_Legs_18.1,8,pool,38,0,21,1.2034,1.2006,0.0028,filtered later b/c ran out of filters,,put into oven at 15:00 on 8/11/18
Porter_Above,8/8/18,8/22/18,Frog_Legs_18.1,15,pool,47,0,22,1.1643,1.1608,0.0035,filtered later b/c ran out of filters,,
Porter_Above,8/8/18,8/22/18,Jesus_Toast_18.2,13,pool,40,0,23,1.1981,1.1939,0.0042,filtered later b/c ran out of filters,,
Porter_Above,8/8/18,8/9/18,Jesus_Toast_18.2,11,pool,39,0,19,1.1616,1.1569,0.0047,,,
Porter_Above,8/8/18,8/9/18,Golf_Ball_18.3,16,pool,47,0,20,1.2067,1.2045,0.0022,,,
Porter_Above,8/8/18,8/9/18,Golf_Ball_18.3,1,pool,47,0,17,1.2181,1.2155,0.0026,,,
Porter_Above,8/8/18,8/22/18,Waterfall_18.4,10,pool,41,0,24,1.2028,1.1994,0.0034,filtered later b/c ran out of filters,,
Porter_Above,8/8/18,8/9/18,Waterfall_18.4,12,pool,51,-10,18,1.1694,1.1639,0.0055,leaky gasket?,,
