Site,Date_collected,Date_processed,Site,Cobble#_SID,Pool/Riffle,Volume (mL),Volume Added,Canister_#,Chla_reading,Total_Chla_extracted,Total_Chla_in_Sample,Chla_area,Cobble Area,Notes
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,5,riffle,27,0,26,405.64,4.0564,10.95228,,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,11,pool,36,0,31,493.18,4.9318,17.75448,,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,16,pool,30,0,29,1000,10,30,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,6,riffle,26,0,25,406.2,4.062,10.5612,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,7,riffle,41,0,20,301.49,3.0149,12.36109,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,12,pool,35,0,24,834.33,8.3433,29.20155,,,
Porter_Above,7/13/18,7/14/18,Waterfall_18.4,13,pool,19,0,21,331.62,3.3162,6.30078,,,
Porter_Above,8/8/18,8/9/18,Frog_Legs_18.1,8,pool,38,0,57,600.45,6.0045,22.8171,,,
Porter_Above,8/8/18,8/9/18,Frog_Legs_18.2,15,pool,47,0,55,578.73,5.7873,27.20031,,,
Porter_Above,8/8/18,8/9/18,Jesus_Toast_18.2,13,pool,40,0,52,437.63,4.3763,17.5052,,,
Porter_Above,8/8/18,8/9/18,Jesus_Toast_18.2,11,pool,39,0,51,695.4,6.954,27.1206,,,
Porter_Above,8/8/18,8/9/18,Golf_Ball_18.3,16,pool,47,0,56,395.86,3.9586,18.60542,,,
Porter_Above,8/8/18,8/9/18,Golf_Ball_18.3,1,pool,47,0,54,399.77,3.9977,18.78919,,,
Porter_Above,8/8/18,8/9/18,Waterfall_18.4,10,pool,41,0,53,808.66,8.0866,33.15506,,,
Porter_Above,8/8/18,8/9/18,Waterfall_18.4,12,pool,51,-10,50,1000,10,51,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,4,riffle,28,0,40,265.67,2.6567,7.43876,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,5,riffle,27,0,41,184.4,1.844,4.9788,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,6,pool,26,0,42,242.17,2.4217,6.29642,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,10,pool,32,0,33,509.06,5.0906,16.28992,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,1,riffle,30,0,45,314.69,3.1469,9.4407,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,11,riffle,23,0,36,345.36,3.4536,7.94328,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,12,pool,24,0,35,208.26,2.0826,4.99824,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,14,pool,18,0,34,55.75,0.5575,1.0035,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,2,riffle,37,0,38,285.03,2.8503,10.54611,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,3,riffle,33,0,39,163.87,1.6387,5.40771,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,7,pool,32,0,44,157.69,1.5769,5.04608,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,9,pool,29,0,46,239.89,2.3989,6.95681,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,8,riffle,56,-19,43,234.38,2.3438,13.12528,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,13,riffle,29,0,37,234.45,2.3445,6.79905,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,15,pool,28,0,48,65.83,0.6583,1.84324,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,16,pool,42,0,49,142.2,1.422,5.9724,,,
